                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.60338,                0.83689,                 1.0684,                0.82301,                0.80131,                  0.852,                0.74421,                0.53007,                0.72393,                 1.0003,             0.00030635,             0.00030635,             0.00030635
                     75,                0.60561,                0.81192,                 1.0771,                0.78273,                0.84702,                0.85499,                0.73833,                0.54544,                0.75246,                 1.0049,               0.000304,               0.000304,               0.000304
                     76,                0.58905,                0.79799,                 1.0711,                0.79835,                0.80053,                0.83816,                0.73112,                0.55655,                0.81325,                 1.0303,             0.00030164,             0.00030164,             0.00030164
                     77,                0.58663,                0.79091,                 1.0681,                0.79722,                0.83962,                0.84411,                0.73246,                0.55999,                0.79636,                 1.0175,             0.00029929,             0.00029929,             0.00029929
                     78,                0.59106,                 0.7939,                 1.0675,                0.79839,                 0.8257,                0.84573,                0.74164,                0.53256,                0.77868,                 1.0079,             0.00029693,             0.00029693,             0.00029693
                     79,                0.59634,                0.79145,                 1.0621,                0.83442,                0.80334,                0.85593,                0.73931,                0.54349,                0.74269,                 1.0186,             0.00029457,             0.00029457,             0.00029457
                     80,                0.58318,                0.79746,                 1.0672,                0.78958,                0.80254,                 0.8427,                0.73086,                0.54987,                0.77008,                 1.0104,             0.00029222,             0.00029222,             0.00029222
                     81,                0.56166,                0.76265,                 1.0594,                0.81953,                0.78942,                0.83919,                0.72791,                0.56567,                0.79632,                 1.0171,             0.00028986,             0.00028986,             0.00028986
                     82,                 0.6025,                0.79781,                 1.0733,                0.81477,                0.81161,                 0.8429,                0.73427,                0.54194,                0.76747,                 1.0102,              0.0002875,              0.0002875,              0.0002875
                     83,                0.58503,                0.77994,                 1.0681,                0.85338,                 0.8007,                0.85345,                0.73615,                0.55924,                0.74408,                 1.0219,             0.00028515,             0.00028515,             0.00028515
                     84,                0.60009,                0.79664,                 1.0785,                0.78893,                0.86556,                0.86774,                0.75599,                0.53661,                 0.7337,                 0.9914,             0.00028279,             0.00028279,             0.00028279
                     85,                0.57688,                 0.7767,                 1.0597,                  0.812,                0.84032,                 0.8585,                0.73928,                0.56077,                0.74748,                  1.022,             0.00028044,             0.00028044,             0.00028044
                     86,                0.58123,                0.77897,                 1.0596,                0.82264,                 0.8412,                0.86016,                0.74568,                0.53564,                0.72199,                 0.9955,             0.00027808,             0.00027808,             0.00027808
                     87,                0.58453,                0.76667,                 1.0663,                0.80158,                0.82671,                0.85544,                0.73692,                0.56051,                0.78913,                 1.0203,             0.00027572,             0.00027572,             0.00027572
                     88,                0.56906,                0.74475,                 1.0604,                 0.8272,                 0.7901,                0.84919,                0.73859,                0.54748,                0.78573,                 1.0096,             0.00027337,             0.00027337,             0.00027337
                     89,                0.56656,                0.74591,                 1.0606,                0.77999,                0.84715,                0.85077,                0.74889,                0.53839,                0.76075,                 1.0057,             0.00027101,             0.00027101,             0.00027101
                     90,                0.57058,                0.73708,                 1.0562,                0.78043,                0.81492,                0.84124,                0.72891,                0.56609,                0.81915,                 1.0289,             0.00026865,             0.00026865,             0.00026865
                     91,                   0.59,                0.77096,                 1.0693,                0.81358,                0.80727,                0.85011,                0.73718,                0.54347,                0.83868,                 1.0156,              0.0002663,              0.0002663,              0.0002663
                     92,                0.56246,                0.73154,                 1.0486,                0.83762,                0.78717,                0.85562,                0.74557,                0.55017,                 0.7679,                 1.0135,             0.00026394,             0.00026394,             0.00026394
                     93,                0.54672,                 0.7194,                 1.0428,                0.81538,                0.84351,                 0.8628,                0.75917,                0.52376,                0.73843,                 1.0008,             0.00026159,             0.00026159,             0.00026159
                     94,                 0.5626,                0.73239,                 1.0715,                0.76597,                0.84143,                0.84685,                0.74571,                 0.5298,                 0.7876,                 1.0131,             0.00025923,             0.00025923,             0.00025923
                     95,                 0.5823,                 0.7638,                 1.0632,                0.79603,                0.84925,                0.85348,                 0.7497,                0.52335,                 0.7524,                 1.0029,             0.00025687,             0.00025687,             0.00025687
                     96,                0.55312,                0.73741,                 1.0538,                0.83362,                0.82874,                0.85968,                0.75035,                0.52476,                0.74278,                  1.001,             0.00025452,             0.00025452,             0.00025452
